manufacturer,name,year,title,isBase,pp,power,powerRpm,torque,torqueRpm,weight,weightBalanceFront,weightBalanceRear,hasWideBody,swappedEngineModel,gtAutoFront,gtAutoSide,gtAutoRear,gtAutoWing,tyresFront,tyresRear,suspensionType,susBodyHeightFront,susBodyHeightRear,susAntiRollBarFront,susAntiRollBarRear,susDampingCompFront,susDampingCompRear,susDampingExpFront,susDampingExpRear,susNaturalFreqFront,susNaturalFreqRear,susCamberFront,susCamberRear,susToeFront,susToeRear,diffType,diffInitTorqueFront,diffInitTorqueRear,diffAccelSensFront,diffAccelSensRear,diffBrakeSensFront,diffBrakeSensRear,diffTorqueVectoring,diffTorqueFront,diffTorqueRear,aeroDownforceFront,aeroDownforceRear,ecuType,ecuOutput,powerRestrictor,ballastWeight,ballastPosition,transmissionType,transTopSpeedAuto,transFinalGear,transGearRatios,nitro,nitroOutput,turboType,antiLagType,intercoolerType,superchargerType,airCleanerType,silencerType,exhaustManifoldType,brakeSystemType,brakePadsType,handbrakeType,handbrakeTorque,brakeBalanceType,brakeBalance,steeringAngleKit,fourWheelSteeringType,rearSteeringAngle,clutchFlywheelType,propellerShaftType,engineBoreUp,engineStrokeUp,engineBalanceTuning,enginePolishPorts,engineHighLiftCamshaft,engineTitaniumRods,engineRacingCrank,engineHighCompPistons,weightReductionStage,isBodyRigidity
Ferrari,296 GT3,2023,Ferrari 296 GT3 2023 basic setup,TRUE,743.47,599,6800,72.7,5500,1280,47,53,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,4.2,3.6,3.5,3.5,-0.3,0.3,FULLY_CUSTOMISABLE,0,10,0,30,0,30,NONE,0,100,400,600,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.333,"2.458, 1.883, 1.541, 1.297, 1.130, 1.000",NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Ferrari,458 Italia GT3,2013,Ferrari 458 Italia GT3 2013 basic setup,TRUE,731.36,542,9000,56,6000,1215,42,58,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Ferrari,458 Italia Gr.4,2009,Ferrari 458 Italia Gr.4 2009 basic setup,TRUE,638.06,374,9000,36.7,6000,1350,43,57,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,3,3,3.5,3.5,-0.1,0.3,FULLY_CUSTOMISABLE,0,15,0,20,0,40,NONE,0,100,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,5.143,"2.396, 1.821, 1.461, 1.204, 1.019, 0.866, 0.778",NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Ford,GT LM Race Car Spec II,2004,Ford GT LM Race Car Spec II 2004 basic setup,TRUE,735.62,606,6500,72.7,4000,1130,43,57,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,4.2,3.6,3.5,3.5,-0.1,0.25,FULLY_CUSTOMISABLE,0,15,0,20,0,40,NONE,0,100,350,650,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.36,"2.812, 2.020, 1.569, 1.278, 1.091, 0.976",NONE,0,NONE,OFF,NORMAL,NORMAL,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Ford,GT Race Car,2018,Ford GT Race Car 2018 basic setup,TRUE,723.02,527,6500,62.4,4000,1200,46,54,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Ford,GT LM Spec II Test Car,2004,Ford GT LM Spec II Test Car 2004 basic setup,TRUE,729.22,590,6500,73.7,4000,1165,43,57,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NORMAL,NORMAL,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Ford,Mustang Gr.3,2015,Ford Mustang Gr.3 2015 basic setup,TRUE,716.44,568,7000,61.2,6000,1300,54,46,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Ford,Mustang Gr.4,2015,Ford Mustang Gr.4 2015 basic setup,TRUE,632.77,395,6500,51.1,4500,1400,54,46,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.25,FULLY_CUSTOMISABLE,0,10,0,30,0,20,NONE,0,100,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Genesis,Genesis X Gran Racer VGT Concept,2024,Genesis Genesis X Gran Racer VGT Concept 2024 basic setup,TRUE,885.87,869,8000,109.2,5500,1089,52,48,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,70,85,5,5,25,25,45,45,4,4,3,1.5,0,0.1,FULLY_CUSTOMISABLE,5,10,20,30,10,20,NORMAL,0,0,700,800,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.58,"3.670, 2.400, 1.610, 1.190, 1.000, 0.830, 0.640, 0.560",NONE,0,NORMAL,OFF,NORMAL,NORMAL,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Genesis,Genesis X Gr.3,2020,Genesis Genesis X Gr.3 2020 basic setup,TRUE,726.09,547,6500,71,3000,1280,52,48,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Genesis,G70 GR_4,2022,Genesis G70 GR_4 2022 basic setup,TRUE,641.19,414,6400,53.7,2500,1400,52,48,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.2,FULLY_CUSTOMISABLE,5,10,20,30,10,20,NORMAL,30,70,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Honda,NSX Concept-GT,2016,Honda NSX Concept-GT 2016 basic setup,TRUE,867.13,603,8500,62.5,5000,1049,48,52,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,50,60,5,5,25,25,45,45,4.2,3.6,2.5,2,-0.1,0.35,FULLY_CUSTOMISABLE,0,10,0,20,0,30,NONE,0,100,750,1000,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,4.43,"2.286, 1.750, 1.421, 1.200, 1.050, 0.923",NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Honda,NSX GT500,2008,Honda NSX GT500 2008 basic setup,TRUE,809.29,518,7500,60,5500,1150,46,54,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,,,,,,,NONE,0,100,750,1000,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Honda,NSX GT500,2000,Honda NSX GT500 2000 basic setup,TRUE,706.71,481,8000,46.3,7000,1150,44,56,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Honda,NSX GT3,2017,Honda NSX GT3 2017 basic setup,TRUE,718.94,568,7500,59.5,3000,1300,42,58,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Honda,NSX Gr.4,2017,Honda NSX Gr.4 2017 basic setup,TRUE,644.28,394,6700,44.2,3800,1360,42,58,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,80,85,5,5,25,25,45,45,3,3,3.5,3.5,-0.1,0.3,FULLY_CUSTOMISABLE,0,15,0,20,0,40,NONE,0,100,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.583,"2.754, 2.101, 1.655, 1.346, 1.118, 0.950",NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Hyundai,N 2025 VGT,2025,Hyundai N 2025 VGT 2025 basic setup,TRUE,886.92,640,9000,61.4,7000,972,45,55,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,4,4,,,,,FULLY_CUSTOMISABLE,,,,,,,NORMAL,45,55,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Hyundai,Genesis GR_3,2013,Hyundai Genesis GR_3 2013 basic setup,TRUE,725.27,575,8000,55.3,6500,1282,53,47,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Hyundai,ELANTRA N TC,2024,Hyundai ELANTRA N TC 2024 basic setup,TRUE,618.97,350,7000,45.9,3500,1265,59,41,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,90,100,5,5,25,25,45,45,3,3,3.5,2,-0.15,0,FULLY_CUSTOMISABLE,10,0,30,0,10,0,NONE,100,0,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.23,"2.692, 2.071, 1.666, 1.388, 1.166, 1000",NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Hyundai,Genesis Gr.4,2013,Hyundai Genesis Gr.4 2013 basic setup,TRUE,627.74,384,7000,41.9,5500,1350,53,47,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.25,FULLY_CUSTOMISABLE,0,10,0,30,0,20,NONE,0,100,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Jaguar,XJR-9,1988,Jaguar XJR-9 1988 basic setup,TRUE,862.26,749,7200,79.6,5500,894,41,59,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,70,80,5,5,25,25,45,45,4,4,3,1.5,-0.1,0.35,FULLY_CUSTOMISABLE,0,10,0,20,0,30,NONE,0,100,750,1000,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.5,"2.263, 1.477, 1.090, 0.867, 0.747",NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Jaguar,F-type Gr.3,2014,Jaguar F-type Gr.3 2014 basic setup,TRUE,727.11,552,6500,69.2,3500,1250,52,48,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NORMAL,NORMAL,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Jaguar,F-type Gr.4,2014,Jaguar F-type Gr.4 2014 basic setup,TRUE,636.58,399,6500,51.1,3500,1350,52,48,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,70,90,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.25,FULLY_CUSTOMISABLE,0,10,0,30,0,20,NONE,0,100,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,2.56,"3.472, 2.648, 2.131, 1.762, 1.487, 1.287, 1.142",NONE,0,NONE,OFF,NORMAL,NORMAL,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Lamborghini,Huracán GT3,2015,Lamborghini Huracán GT3 2015 basic setup,TRUE,738.66,576,8000,59.2,6500,1230,42,58,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Lamborghini,Huracán Gr.4,2015,Lamborghini Huracán Gr.4 2015 basic setup,TRUE,658.59,404,8300,38.4,6500,1365,42,58,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,80,90,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.2,FULLY_CUSTOMISABLE,5,10,20,30,10,20,NORMAL,30,70,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,4.89,"2.415, 1.841, 1.482, 1.225, 1041, 0.900, 0.790",NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Lexus,RC F GT500,2016,Lexus RC F GT500 2016 basic setup,TRUE,864.44,614,8000,60,4000,1020,51,49,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,50,60,5,5,25,25,45,45,4.2,3.8,2.5,2,-0.1,0.25,FULLY_CUSTOMISABLE,0,10,0,30,0,20,NONE,0,100,750,1000,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,4.43,"2.286, 1.750, 1.421, 1.200, 1.050, 0.923",NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Lexus,SC430 GT500,2008,Lexus SC430 GT500 2008 basic setup,TRUE,807.39,516,7000,59.6,5500,1100,50,50,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,,,,,,,NONE,0,100,750,1000,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Lexus,RC F GT3,2017,Lexus RC F GT3 2017 basic setup,TRUE,725.77,535,7000,62.8,4500,1300,54,46,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Lexus,RC F GT3 Prototype,2016,Lexus RC F GT3 Prototype 2016 basic setup,TRUE,719.53,527,7000,62,5000,1300,54,46,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Lexus,RC F Gr.4,2014,Lexus RC F Gr.4 2014 basic setup,TRUE,632.21,419,7000,48.1,5000,1400,54,46,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,70,100,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.25,FULLY_CUSTOMISABLE,0,10,0,30,0,20,NONE,0,100,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,0.937,"3.217, 2.478, 2.006, 1.665, 1.417, 1.206, 1.046",NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Mazda,LM55 VGT (Gr.1),2014,Mazda LM55 VGT (Gr.1) 2014 basic setup,TRUE,880.58,641,8500,57.6,6500,880,49,51,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,4,4,,,,,FULLY_CUSTOMISABLE,,,,,,,NORMAL,35,65,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Mazda,787B,1991,Mazda 787B 1991 basic setup,TRUE,839.74,690,9100,62,6500,830,45,55,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,4,4,,,,,FULLY_CUSTOMISABLE,,,,,,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Mazda,Atenza Gr.3,2015,Mazda Atenza Gr.3 2015 basic setup,TRUE,722.21,567,8000,58,5500,1280,54,46,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,3.6,3.2,3.5,3,-0.1,0.2,FULLY_CUSTOMISABLE,0,10,0,30,0,20,NONE,0,100,425,575,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,4.09,"2.450, 1.858, 1.494, 1.236, 1.035, 0.882",NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Mazda,RX-Vision GT3 Concept,2015,Mazda RX-Vision GT3 Concept 2015 basic setup,TRUE,739.37,562,8900,55,6500,1250,48,52,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Mazda,MAZDA3 Gr.4,2019,Mazda MAZDA3 Gr.4 2019 basic setup,TRUE,636.81,380,7000,44.2,4000,1200,64,36,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,3,3,3.5,2,-0.15,0,FULLY_CUSTOMISABLE,10,0,30,0,10,0,NONE,100,0,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Mazda,Atenza Gr.4,2015,Mazda Atenza Gr.4 2015 basic setup,TRUE,619.3,393,7000,43.7,4500,1380,60,40,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,80,90,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.2,FULLY_CUSTOMISABLE,5,10,20,30,10,20,NORMAL,30,70,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,4.09,"2.625, 1.701, 1.330, 1.069, 0.871, 0.725",NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
